source_task,family,work_type,criterion_id,criterion_title,reference_fragment,source_files,compiler_discrimination,review_status,review_notes
antitrust-competition/analyze-antitrust-hsr-strategy,standard,analyze,C-003,ISSUE_001: Identifies Crescent IC memo 'dominant platform' and 'eliminate competitive pressure' language as hot document,"January 22, 2025 | hot document | dominant Gulf Coast distribution platform",crescent-ic-memo.docx | praxion-synergy-presentation.pptx,reference_passes;corrupted_fails,,
antitrust-competition/analyze-antitrust-hsr-strategy,standard,analyze,C-017,ISSUE_004: Notes that 20.6% medical gas share is more concerning due to entry barriers,20.6%,crescent-ic-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/analyze-antitrust-hsr-strategy,standard,analyze,C-041,Provides an overall risk rating of 'high' or 'very high',very high,market-data-branches.xlsx,reference_passes;corrupted_fails,,
antitrust-competition/analyze-counterparty-markup-of-protective-order,standard,analyze,C-013,Cites Judge Jennings's Northline ruling rejecting auto de-designation,Judge Jennings's,cis-discovery-sensitivity-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/analyze-counterparty-markup-of-protective-order,standard,analyze,C-015,Identifies compressed clawback notification period as privilege waiver risk,3.2 million | Whitfield Barton's,cis-discovery-sensitivity-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/analyze-counterparty-markup-of-protective-order,standard,analyze,C-022,Identifies 10-day challenge window as insufficient,10 business days | 3.2 million,cis-discovery-sensitivity-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/analyze-counterparty-markup-of-protective-order,standard,analyze,C-040,Memo references the DOJ cover email (DOC_003),Patricia Halverson,cis-original-protective-order.docx,reference_passes;corrupted_fails,,
antitrust-competition/analyze-counterparty-markup-of-protective-order,standard,analyze,C-045,Discusses the $25-40M annual competitive harm estimate from data leakage,$25 | 40 million,cis-discovery-sensitivity-memo.docx,reference_passes;corrupted_fails,,
antitrust-competition/analyze-iss-antitrust-transaction-structure,standard,analyze,C-005,Cites correct HHI figures for South Central Epoxy Resins,"3,236 | South Central",holbrook-forsythe-email.eml | market-analysis-report.docx,reference_passes;corrupted_fails,,
antitrust-competition/analyze-iss-antitrust-transaction-structure,standard,analyze,C-007,Cites correct HHI figures for South Central Specialty Solvents,"3,142 | South Central",holbrook-forsythe-email.eml | market-analysis-report.docx,reference_passes;corrupted_fails,,
antitrust-competition/compare-corporate-antitrust-compliance-program-against-doj-and-ftc-guidelines,standard,analyze,C-003,ISSUE_001: Identifies CCO reporting structure lacks board independence,CCO Susan Yamamoto | General Counsel Okonkwo,doj-evaluation-framework-summary.docx,reference_passes;corrupted_fails,,
antitrust-competition/compare-corporate-antitrust-compliance-program-against-doj-and-ftc-guidelines,standard,analyze,C-006,ISSUE_001: Remediation recommendation for direct board reporting,Compliance Committee,audit-committee-minutes-sept-2024.docx,reference_passes;corrupted_fails,,
antitrust-competition/compare-corporate-antitrust-compliance-program-against-doj-and-ftc-guidelines,standard,analyze,C-035,ISSUE_011b: Identifies stale training module (last revised 2019),2019,audit-committee-minutes-sept-2024.docx,reference_passes;corrupted_fails,,
antitrust-competition/compare-corporate-antitrust-compliance-program-against-doj-and-ftc-guidelines,standard,analyze,C-052,"Correctly states total employee count as approximately 14,200","14,200",audit-committee-minutes-sept-2024.docx,reference_passes;corrupted_fails,,
